ID|SourceID|MessageID|Tag|Value|Type|Quality|Timestamp|TimestampMessage|TimestampCreation
32|BH14|4d5b7904-b995-4283-921a-bc74ea2c0956|PW_P_IMR0|1|xsd:boolean|Good|2018-02-27 17:32:31|2018-02-27 17:32:31|2018-02-27 18:32:31.340000000
33|BH14|4d5b7904-b995-4283-921a-bc74ea2c0956|PW_T_CYC|44.097724914551|xsd:double|Good|2018-02-27 17:32:31|2018-02-27 17:32:31|2018-02-27 18:32:31.340000000
34|BH14|4d5b7904-b995-4283-921a-bc74ea2c0956|PW_T_F|0.02980017662|xsd:double|Good|2018-02-27 17:32:31|2018-02-27 17:32:31|2018-02-27 18:32:31.340000000
35|BH14|4d5b7904-b995-4283-921a-bc74ea2c0956|PW_T_SUM|0.031599998474|xsd:double|Good|2018-02-27 17:32:31|2018-02-27 17:32:31|2018-02-27 18:32:31.340000000
36|BH14|4d5b7904-b995-4283-921a-bc74ea2c0956|PW_V_CF|3.677348136902|xsd:double|Good|2018-02-27 17:32:31|2018-02-27 17:32:31|2018-02-27 18:32:31.340000000
37|BH14|38dacd85-b73a-44a8-abf0-f325eb299578|PW_F_LCTR|9333733|xsd:double|Good|2018-02-27 17:32:32|2018-02-27 17:32:32|2018-02-27 18:32:32.310000000
38|BH14|a3a1f62b-a71c-4efc-bbb8-d4162c98e161|PW_QUA_ATT_I|3|xsd:long|Good|2018-02-27 17:32:46|2018-02-27 17:32:46|2018-02-27 18:32:46.330000000
39|BH14|a3a1f62b-a71c-4efc-bbb8-d4162c98e161|ZR_SUMCYC_JOB_OK_I|2134|xsd:long|Good|2018-02-27 17:32:46|2018-02-27 17:32:46|2018-02-27 18:32:46.330000000
40|BH14|556145d4-3376-42dd-9dc4-cf3221e792d7|PW_QUA_ATT_I|0|xsd:long|Good|2018-02-27 17:32:58|2018-02-27 17:32:58|2018-02-27 18:32:58.347000000
41|BH14|f67859f7-89a4-4891-a89a-3610b5b2053a|PW_L_B|21|xsd:double|Good|2018-02-27 17:33:15|2018-02-27 17:33:15|2018-02-27 18:33:15.340000000
42|BH14|f67859f7-89a4-4891-a89a-3610b5b2053a|PW_P_IMMAX|953|xsd:double|Good|2018-02-27 17:33:15|2018-02-27 17:33:15|2018-02-27 18:33:15.340000000
43|BH14|f67859f7-89a4-4891-a89a-3610b5b2053a|PW_P_IMR0|1|xsd:boolean|Good|2018-02-27 17:33:15|2018-02-27 17:33:15|2018-02-27 18:33:15.340000000
44|BH14|f67859f7-89a4-4891-a89a-3610b5b2053a|PW_S_PRE|12|xsd:double|Good|2018-02-27 17:33:15|2018-02-27 17:33:15|2018-02-27 18:33:15.340000000
45|BH14|f67859f7-89a4-4891-a89a-3610b5b2053a|PW_T_CYC|43.978805541992|xsd:double|Good|2018-02-27 17:33:15|2018-02-27 17:33:15|2018-02-27 18:33:15.340000000
46|BH14|f67859f7-89a4-4891-a89a-3610b5b2053a|PW_T_F|0.029399871826|xsd:double|Good|2018-02-27 17:33:15|2018-02-27 17:33:15|2018-02-27 18:33:15.340000000
47|BH14|f67859f7-89a4-4891-a89a-3610b5b2053a|PW_T_SUM|0.032400131226|xsd:double|Good|2018-02-27 17:33:15|2018-02-27 17:33:15|2018-02-27 18:33:15.340000000
48|BH14|f67859f7-89a4-4891-a89a-3610b5b2053a|PW_V_CF|3.673043727875|xsd:double|Good|2018-02-27 17:33:15|2018-02-27 17:33:15|2018-02-27 18:33:15.340000000
49|BH14|8aa750e8-efe6-481e-96f1-757bec3b4740|PW_QUA_ATT_I|3|xsd:long|Good|2018-02-27 17:33:30|2018-02-27 17:33:30|2018-02-27 18:33:30.360000000
50|BH14|8aa750e8-efe6-481e-96f1-757bec3b4740|ZR_SUMCYC_JOB_OK_I|2135|xsd:long|Good|2018-02-27 17:33:30|2018-02-27 17:33:30|2018-02-27 18:33:30.360000000
51|BH14|85c49be8-ce3f-49aa-a421-afaacead6a93|PW_QUA_ATT_I|0|xsd:long|Good|2018-02-27 17:33:42|2018-02-27 17:33:42|2018-02-27 18:33:42.383000000
52|BH14|b1eb17ff-f375-4498-a0c3-4a41b685403c|PW_P_IMMAX|956|xsd:double|Good|2018-02-27 17:33:59|2018-02-27 17:33:59|2018-02-27 18:33:59.390000000
53|BH14|b1eb17ff-f375-4498-a0c3-4a41b685403c|PW_P_IMR0|1|xsd:boolean|Good|2018-02-27 17:33:59|2018-02-27 17:33:59|2018-02-27 18:33:59.390000000
54|BH14|b1eb17ff-f375-4498-a0c3-4a41b685403c|PW_T_CYC|44.040493011475|xsd:double|Good|2018-02-27 17:33:59|2018-02-27 17:33:59|2018-02-27 18:33:59.390000000
55|BH14|b1eb17ff-f375-4498-a0c3-4a41b685403c|PW_T_F|0.029799938202|xsd:double|Good|2018-02-27 17:33:59|2018-02-27 17:33:59|2018-02-27 18:33:59.390000000
56|BH14|b1eb17ff-f375-4498-a0c3-4a41b685403c|PW_T_SUM|0.03200006485|xsd:double|Good|2018-02-27 17:33:59|2018-02-27 17:33:59|2018-02-27 18:33:59.390000000
57|BH14|b1eb17ff-f375-4498-a0c3-4a41b685403c|PW_V_CF|3.673956632614|xsd:double|Good|2018-02-27 17:33:59|2018-02-27 17:33:59|2018-02-27 18:33:59.390000000
58|BH14|79b90fe4-f1c1-480d-a574-e1550ad53f99|PW_F_LCTR|9336370|xsd:double|Good|2018-02-27 17:34:00|2018-02-27 17:34:00|2018-02-27 18:34:00.377000000
59|BH14|e6083cb0-d05a-4c4f-a8c2-f05892a6dc77|PW_QUA_ATT_I|3|xsd:long|Good|2018-02-27 17:34:14|2018-02-27 17:34:14|2018-02-27 18:34:14.423000000
60|BH14|e6083cb0-d05a-4c4f-a8c2-f05892a6dc77|ZR_SUMCYC_JOB_OK_I|2136|xsd:long|Good|2018-02-27 17:34:14|2018-02-27 17:34:14|2018-02-27 18:34:14.423000000
61|BH14|d9f8e749-dfac-48b6-a1e1-fc6997d8e8aa|PW_QUA_ATT_I|0|xsd:long|Good|2018-02-27 17:34:26|2018-02-27 17:34:26|2018-02-27 18:34:26.430000000
62|BH14|c4ad5c98-e26a-400e-b9bb-7a472b86ab21|PW_L_B|20|xsd:double|Good|2018-02-27 17:34:43|2018-02-27 17:34:43|2018-02-27 18:34:43.453000000
