ID,NodeID,Description,Type,ParentID,TimestampCreation,TimestampUpdate
48,F0530,Reg coltelli tranc,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
49,F0531,Resistenze forno,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
50,F0532,Riavvio macchina,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
51,F0533,Rispresa stampo,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
52,F0534,Robot,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
53,F0535,Robot - perdita assi,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
54,F0536,Robot - pinza,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
55,F0537,Rott anima carro,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
56,F0538,Rott carro,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
57,F0539,Rott macchina idr,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
58,F0540,Rott punzoni,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
59,F0541,Rott stampo,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
60,F0542,Rott trancia,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
61,F0543,Rott tranciante,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
62,F0544,Rottura macchina ell,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
63,F0545,Scaricatore materozza,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
64,F0546,Sost anime carro,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
65,F0547,Sost anime st fisso,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
66,F0548,Sost anime st mob,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
67,F0549,Sost contenitore,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
68,F0550,Sost stelo iniezione,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
69,F0551,Sostituz canne raffr,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
70,F0552,Sostituzione anime griglia,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
71,F0553,Trancia senza olio (aggiunta),CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
72,F0554,Westofen/botta,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
73,F0801,Cabio fasce pistone,CAUSAL,3,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
74,F0802,Cambio pistone,CAUSAL,3,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
75,F0803,Lavaggio imp.dis,CAUSAL,3,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
76,F0804,Pulizia anime griglia,CAUSAL,3,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
77,F0805,Pulizia carro,CAUSAL,3,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
78,F0806,Pulizia carro da bave,CAUSAL,3,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
79,F0807,Pulizia forno wb,CAUSAL,3,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
80,F0808,Pulizia macchina,CAUSAL,3,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
81,F0809,Pulizia raffreddamenti,CAUSAL,3,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
82,F0810,Pulizia stampo,CAUSAL,3,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
83,F0811,Pulizia stampo da bave,CAUSAL,3,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
84,F0812,Rabbocco olio,CAUSAL,3,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
85,F0601,Mancata manodopera,CAUSAL,3,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
86,F0850,Assemblea,CAUSAL,4,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
87,F0851,Sciopero,CAUSAL,4,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
88,F0901,Attesa benestare cq,CAUSAL,4,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
89,F0902,Cambio codice,CAUSAL,5,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
90,F0903,Cambio stampo,CAUSAL,5,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
91,F0904,Cambio tranciante,CAUSAL,5,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
92,F0905,Campionatura,CAUSAL,5,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
93,F0906,Lubrificatore - cambio,CAUSAL,5,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
94,F0907,Macchina regolaz,CAUSAL,5,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
95,F0908,Modifica stampo,CAUSAL,5,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
96,F0909,Partenza macchina,CAUSAL,5,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
97,F0910,Raffreddamento - cambio piazzole,CAUSAL,5,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
98,F0911,Robot regolaz,CAUSAL,5,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
